Forkortelse,Produkt,MBL [tonn],Massetetthet [kg/m],E-modul [N/m^2]
40 STec-8,40 mm SuperTec 8-slått,34.915083132364266,0.791,2000000000.0
44 STec-8,44 mm SuperTec 8-slått,41.71659027292704,0.977,2000000000.0
45 STec-8,45 mm SuperTec 8-slått,43.5112908077682,1.02,2000000000.0
48 STec-8,48 mm SuperTec 8-slått,48.91578673655122,1.145,2000000000.0
50 STec-8,50 mm SuperTec 8-slått,52.21966726659971,1.245,2000000000.0
52 STec-8,52 mm SuperTec 8-slått,56.51267252323679,1.34,2000000000.0
55 STec-8,55 mm SuperTec 8-slått,62.62077263897458,1.505,2000000000.0
56 STec-8,56 mm SuperTec 8-slått,64.91513411817492,1.56,2000000000.0
60 STec-8,60 mm SuperTec 8-slått,74.41888922312921,1.79,2000000000.0
64 STec-8,64 mm SuperTec 8-slått,83.92264432808349,2.036,2000000000.0
65 STec-8,65 mm SuperTec 8-slått,86.52292067117722,2.1,2000000000.0
68 STec-8,68 mm SuperTec 8-slått,95.42504321047453,2.3,2000000000.0
70 STec-8,70 mm SuperTec 8-slått,101.13545400315093,2.435,2000000000.0
72 STec-8,72 mm SuperTec 8-slått,105.5304308810858,2.58,2000000000.0
75 STec-8,75 mm SuperTec 8-slått,114.53452504168091,2.795,2000000000.0
80 STec-8,80 mm SuperTec 8-slått,129.9424370197774,3.19,2000000000.0
85 STec-8,85 mm SuperTec 8-slått,146.14572764399668,3.605,2000000000.0
88 STec-8,88 mm SuperTec 8-slått,156.94452233943295,3.86,2000000000.0
90 STec-8,90 mm SuperTec 8-slått,164.0519443438891,4.035,2000000000.0
95 STec-8,95 mm SuperTec 8-slått,180.15326334681058,4.495,2000000000.0
96 STec-8,96 mm SuperTec 8-slått,184.05877644251606,4.59,2000000000.0
32 Stuf-8,32 mm Supertuf 8-slått,17.1,0.4590909090909091,2000000000.0
36 Stuf-8,36 mm Supertuf 8-slått,21.1,0.5863636363636363,2000000000.0
40 Stuf-8,40 mm Supertuf 8-slått,26.3,0.7181818181818181,2000000000.0
48 Stuf-8,48 mm Supertuf 8-slått,37.5,1.040909090909091,2000000000.0
56 Stuf-8,56 mm Supertuf 8-slått,53.1,1.4181818181818182,2000000000.0
60 Stuf-8,60 mm Supertuf 8-slått,60.7,1.6318181818181818,2000000000.0
64 Stuf-8,64 mm Supertuf 8-slått,68.7,1.85,2000000000.0
72 Stuf-8,72 mm Supertuf 8-slått,86.0,2.340909090909091,2000000000.0
80 Stuf-8,80 mm Supertuf 8-slått,105.79999999999998,2.9,2000000000.0
88 Stuf-8,88 mm Supertuf 8-slått,126.79999999999998,3.5090909090909093,2000000000.0
32 Tuf-8,32 mm Tufflex 8-slått,20.1,0.5636363636363636,2000000000.0
36 Tuf-8,36 mm Tufflex 8-slått,25.5,0.7136363636363636,2000000000.0
40 Tuf-8,40 mm Tufflex 8-slått,31.5,0.8827272727272727,2000000000.0
48 Tuf-8,48 mm Tufflex 8-slått,46.29,1.28,2000000000.0
56 Tuf-8,56 mm Tufflex 8-slått,74.4,1.72,2000000000.0
60 Tuf-8,60 mm Tufflex 8-slått,84.6,2.290909090909091,2000000000.0
64 Tuf-8,64 mm Tufflex 8-slått,94.3,2.65,2000000000.0
72 Tuf-8,72 mm Tufflex 8-slått,120.09999999999998,3.35,2000000000.0
80 Tuf-8,80 mm Tufflex 8-slått,147.6,4.12,2000000000.0
88 Tuf-8,88 mm Tufflex 8-slått,155.40000000000003,5.0,2000000000.0
11 AlKj,11 mm Alloykjetting,12.440537798330725,2.1,110000000000.0
13 AlKj,13 mm Alloykjetting,17.33517562062478,2.7,110000000000.0
16 AlKj,16 mm Alloykjetting,26.206706673532757,4.4,110000000000.0
19 AlKj,19 mm Alloykjetting,37.0156985310988,6.5,110000000000.0
22 AlKj,22 mm Alloykjetting,49.66017957202511,8.5,110000000000.0
25 AlKj,25 mm Alloykjetting,64.0381781750139,11.0,110000000000.0
28 AlKj,28 mm Alloykjetting,80.35363758266075,14.0,110000000000.0
32 AlKj,32 mm Alloykjetting,104.92879831542882,19.0,110000000000.0
9 AlKj,9 mm Alloykjetting,8.259701325121219,1.4,110000000000.0
20 AnKj,20 mm Ankerkjetting,22.155374159371448,7.818181818181818,110000000000.0
24 AnKj,24 mm Ankerkjetting,30.479317605910275,12.218181818181819,110000000000.0
28 AnKj,28 mm Ankerkjetting,41.471858381812346,15.272727272727273,110000000000.0
30 AnKj,30 mm Ankerkjetting,47.671732956718145,17.44,110000000000.0
32 AnKj,32 mm Ankerkjetting,54.16732523338755,19.818181818181817,110000000000.0
34 AnKj,34 mm Ankerkjetting,61.00000000000001,23.65741614108794,110000000000.0
36 AnKj,36 mm Ankerkjetting,68.55552099850613,24.86,110000000000.0
40 AnKj,40 mm Ankerkjetting,84.54467121800003,30.727272727272727,110000000000.0
48 AnKj,48 mm Ankerkjetting,129.5,48.94637822294056,110000000000.0
50 AnKj,50 mm Ankerkjetting,131.9104893108248,48.0,110000000000.0
64 ED-8,64 mm Egersund Dan 8-slått,67.5,2.0,2000000000.0
